Email (Subject +Body),Label
"Subject: SistemBilling Telkom Gangguan
Body: SistemBilling tidak dapat diakses sejak pagi ini dan menyebabkan gagal proses pembayaran pelanggan. Mohon penanganan segera dari tim IT support.",Urgent / Critical
"Subject: Gangguan JaringanBackbone Jakarta-Bandung
Body: Gangguan terdeteksi padaBackbone utama area Jakarta-Bandung sejak pukul 02:00 WIB. Tim NOC diminta investigasi segera karenaBerpotensi mengganggu layanan korporat.",Urgent / Critical
"Subject: Klien Platinum Melaporkan Downtime Layanan Cloud
Body: Klien PT ABC Indonesia melaporkanBahwa layanan cloud Telkom tidak dapat diakses sejak pukul 05:30. SLA 99.9% terancam gagal. Mohon eskalasi ke tim cloud engineer.",Urgent / Critical
"Subject: Anomali Trafik Terindikasi Serangan DDoS
Body: Sistem IDS mendeteksi lonjakan trafik yang mengarah ke aplikasi MyTelkomsel. Dicurigai sebagai DDoS. Mohon aktifkan mitigasi dari tim SOC segera.",Urgent / Critical
"Subject: Kegagalan Sistem Internal CRM di Divisi Consumer
Body: CRM internal mengalami crash dan user tidak dapat melakukan input data pelanggan. Diperlukan fix segera agar tidak mengganggu operasional layanan.",Urgent / Critical
"Subject: Server Email Zimbra Tidak Merespons
Body:Beberapa karyawan melaporkan tidak dapat mengirim email melalui sistem Zimbra. Harap tim Infra segera melakukan restart dan analisis root cause.",Urgent / Critical
"Subject: Sertifikat SSL *.telkom.co.id KadaluarsaBesok
Body: Sertifikat SSL untuk domain utama akan kadaluarsa dalam 24 jam. Segera lakukan perpanjangan agar akses tidak terganggu.",Urgent / Critical
"Subject: Koneksi VPN Pegawai TelkomselBermasalah
Body:Banyak user melaporkan tidakBisa terkoneksi ke VPN internal dari luar kantor. Mohon investigasi cepat karenaBanyak timBekerja remote.",Urgent / Critical
"Subject: Error Autentikasi pada Aplikasi MyIndiHome
Body: Login pada MyIndiHome gagal untuk sebagianBesar pelanggan.Berdampak pada akses layanan dan tagihan. Harap timBackend segera menindaklanjuti.",Urgent / Critical
"Subject: Kebocoran Data Potensial di Layanan TelkomPay
Body: Ditemukan log aktivitas mencurigakan yang mengindikasikan potensi akses ilegal ke data pengguna. Mohon investigasi segera oleh tim keamanan.",Urgent / Critical
"Subject: SistemBilling Telkom Gangguan
Body: SistemBilling tidak dapat diakses sejak pagi ini dan menyebabkan gagal proses pembayaran pelanggan. Mohon penanganan segera dari tim IT support.",Urgent / Critical
"Subject: Gangguan JaringanBackbone Jakarta-Bandung
Body: Gangguan terdeteksi padaBackbone utama area Jakarta-Bandung sejak pukul 02:00 WIB. Tim NOC diminta investigasi segera karenaBerpotensi mengganggu layanan korporat.",Urgent / Critical
"Subject: Klien Platinum Melaporkan Downtime Layanan Cloud
Body: Klien PT ABC Indonesia melaporkanBahwa layanan cloud Telkom tidak dapat diakses sejak pukul 05:30. SLA 99.9% terancam gagal. Mohon eskalasi ke tim cloud engineer.",Urgent / Critical
"Subject: Anomali Trafik Terindikasi Serangan DDoS
Body: Sistem IDS mendeteksi lonjakan trafik yang mengarah ke aplikasi MyTelkomsel. Dicurigai sebagai DDoS. Mohon aktifkan mitigasi dari tim SOC segera.",Urgent / Critical
"Subject: Kegagalan Sistem Internal CRM di Divisi Consumer
Body: CRM internal mengalami crash dan user tidak dapat melakukan input data pelanggan. Diperlukan fix segera agar tidak mengganggu operasional layanan.",Urgent / Critical
"Subject: Server Email Zimbra Tidak Merespons
Body:Beberapa karyawan melaporkan tidak dapat mengirim email melalui sistem Zimbra. Harap tim Infra segera melakukan restart dan analisis root cause.",Urgent / Critical
"Subject: Sertifikat SSL *.telkom.co.id KadaluarsaBesok
Body: Sertifikat SSL untuk domain utama akan kadaluarsa dalam 24 jam. Segera lakukan perpanjangan agar akses tidak terganggu.",Urgent / Critical
"Subject: Koneksi VPN Pegawai TelkomselBermasalah
Body:Banyak user melaporkan tidakBisa terkoneksi ke VPN internal dari luar kantor. Mohon investigasi cepat karenaBanyak timBekerja remote.",Urgent / Critical
"Subject: Error Autentikasi pada Aplikasi MyIndiHome
Body: Login pada MyIndiHome gagal untuk sebagianBesar pelanggan.Berdampak pada akses layanan dan tagihan. Harap timBackend segera menindaklanjuti.",Urgent / Critical
"Subject: Kebocoran Data Potensial di Layanan TelkomPay
Body: Ditemukan log aktivitas mencurigakan yang mengindikasikan potensi akses ilegal ke data pengguna. Mohon investigasi segera oleh tim keamanan.",Urgent / Critical
"Subject: SistemBilling Telkom Gangguan
Body: SistemBilling tidak dapat diakses sejak pagi ini dan menyebabkan gagal proses pembayaran pelanggan. Mohon penanganan segera dari tim IT support.",Urgent / Critical
"Subject: Gangguan JaringanBackbone Jakarta-Bandung
Body: Gangguan terdeteksi padaBackbone utama area Jakarta-Bandung sejak pukul 02:00 WIB. Tim NOC diminta investigasi segera karenaBerpotensi mengganggu layanan korporat.",Urgent / Critical
"Subject: Klien Platinum Melaporkan Downtime Layanan Cloud
Body: Klien PT ABC Indonesia melaporkanBahwa layanan cloud Telkom tidak dapat diakses sejak pukul 05:30. SLA 99.9% terancam gagal. Mohon eskalasi ke tim cloud engineer.",Urgent / Critical
"Subject: Anomali Trafik Terindikasi Serangan DDoS
Body: Sistem IDS mendeteksi lonjakan trafik yang mengarah ke aplikasi MyTelkomsel. Dicurigai sebagai DDoS. Mohon aktifkan mitigasi dari tim SOC segera.",Urgent / Critical
"Subject: Kegagalan Sistem Internal CRM di Divisi Consumer
Body: CRM internal mengalami crash dan user tidak dapat melakukan input data pelanggan. Diperlukan fix segera agar tidak mengganggu operasional layanan.",Urgent / Critical
"Subject: Server Email Zimbra Tidak Merespons
Body:Beberapa karyawan melaporkan tidak dapat mengirim email melalui sistem Zimbra. Harap tim Infra segera melakukan restart dan analisis root cause.",Urgent / Critical
"Subject: Sertifikat SSL *.telkom.co.id KadaluarsaBesok
Body: Sertifikat SSL untuk domain utama akan kadaluarsa dalam 24 jam. Segera lakukan perpanjangan agar akses tidak terganggu.",Urgent / Critical
"Subject: Koneksi VPN Pegawai TelkomselBermasalah
Body:Banyak user melaporkan tidakBisa terkoneksi ke VPN internal dari luar kantor. Mohon investigasi cepat karenaBanyak timBekerja remote.",Urgent / Critical
"Subject: Error Autentikasi pada Aplikasi MyIndiHome
Body: Login pada MyIndiHome gagal untuk sebagianBesar pelanggan.Berdampak pada akses layanan dan tagihan. Harap timBackend segera menindaklanjuti.",Urgent / Critical
"Subject: Kebocoran Data Potensial di Layanan TelkomPay
Body: Ditemukan log aktivitas mencurigakan yang mengindikasikan potensi akses ilegal ke data pengguna. Mohon investigasi segera oleh tim keamanan.",Urgent / Critical
"Subject: SistemBilling Telkom Gangguan
Body: SistemBilling tidak dapat diakses sejak pagi ini dan menyebabkan gagal proses pembayaran pelanggan. Mohon penanganan segera dari tim IT support.",Urgent / Critical
"Subject: Gangguan JaringanBackbone Jakarta-Bandung
Body: Gangguan terdeteksi padaBackbone utama area Jakarta-Bandung sejak pukul 02:00 WIB. Tim NOC diminta investigasi segera karenaBerpotensi mengganggu layanan korporat.",Urgent / Critical
"Subject: Klien Platinum Melaporkan Downtime Layanan Cloud
Body: Klien PT ABC Indonesia melaporkanBahwa layanan cloud Telkom tidak dapat diakses sejak pukul 05:30. SLA 99.9% terancam gagal. Mohon eskalasi ke tim cloud engineer.",Urgent / Critical
"Subject: Anomali Trafik Terindikasi Serangan DDoS
Body: Sistem IDS mendeteksi lonjakan trafik yang mengarah ke aplikasi MyTelkomsel. Dicurigai sebagai DDoS. Mohon aktifkan mitigasi dari tim SOC segera.",Urgent / Critical
"Subject: Kegagalan Sistem Internal CRM di Divisi Consumer
Body: CRM internal mengalami crash dan user tidak dapat melakukan input data pelanggan. Diperlukan fix segera agar tidak mengganggu operasional layanan.",Urgent / Critical
"Subject: Server Email Zimbra Tidak Merespons
Body:Beberapa karyawan melaporkan tidak dapat mengirim email melalui sistem Zimbra. Harap tim Infra segera melakukan restart dan analisis root cause.",Urgent / Critical
"Subject: Sertifikat SSL *.telkom.co.id KadaluarsaBesok
Body: Sertifikat SSL untuk domain utama akan kadaluarsa dalam 24 jam. Segera lakukan perpanjangan agar akses tidak terganggu.",Urgent / Critical
"Subject: Koneksi VPN Pegawai TelkomselBermasalah
Body:Banyak user melaporkan tidakBisa terkoneksi ke VPN internal dari luar kantor. Mohon investigasi cepat karenaBanyak timBekerja remote.",Urgent / Critical
"Subject: Error Autentikasi pada Aplikasi MyIndiHome
Body: Login pada MyIndiHome gagal untuk sebagianBesar pelanggan.Berdampak pada akses layanan dan tagihan. Harap timBackend segera menindaklanjuti.",Urgent / Critical
"Subject: Kebocoran Data Potensial di Layanan TelkomPay
Body: Ditemukan log aktivitas mencurigakan yang mengindikasikan potensi akses ilegal ke data pengguna. Mohon investigasi segera oleh tim keamanan.",Urgent / Critical
"Subject: SistemBilling Telkom Gangguan
Body: SistemBilling tidak dapat diakses sejak pagi ini dan menyebabkan gagal proses pembayaran pelanggan. Mohon penanganan segera dari tim IT support.",Urgent / Critical
"Subject: Gangguan JaringanBackbone Jakarta-Bandung
Body: Gangguan terdeteksi padaBackbone utama area Jakarta-Bandung sejak pukul 02:00 WIB. Tim NOC diminta investigasi segera karenaBerpotensi mengganggu layanan korporat.",Urgent / Critical
"Subject: Klien Platinum Melaporkan Downtime Layanan Cloud
Body: Klien PT ABC Indonesia melaporkanBahwa layanan cloud Telkom tidak dapat diakses sejak pukul 05:30. SLA 99.9% terancam gagal. Mohon eskalasi ke tim cloud engineer.",Urgent / Critical
"Subject: Anomali Trafik Terindikasi Serangan DDoS
Body: Sistem IDS mendeteksi lonjakan trafik yang mengarah ke aplikasi MyTelkomsel. Dicurigai sebagai DDoS. Mohon aktifkan mitigasi dari tim SOC segera.",Urgent / Critical
"Subject: Kegagalan Sistem Internal CRM di Divisi Consumer
Body: CRM internal mengalami crash dan user tidak dapat melakukan input data pelanggan. Diperlukan fix segera agar tidak mengganggu operasional layanan.",Urgent / Critical
"Subject: Server Email Zimbra Tidak Merespons
Body:Beberapa karyawan melaporkan tidak dapat mengirim email melalui sistem Zimbra. Harap tim Infra segera melakukan restart dan analisis root cause.",Urgent / Critical
"Subject: Sertifikat SSL *.telkom.co.id KadaluarsaBesok
Body: Sertifikat SSL untuk domain utama akan kadaluarsa dalam 24 jam. Segera lakukan perpanjangan agar akses tidak terganggu.",Urgent / Critical
"Subject: Koneksi VPN Pegawai TelkomselBermasalah
Body:Banyak user melaporkan tidakBisa terkoneksi ke VPN internal dari luar kantor. Mohon investigasi cepat karenaBanyak timBekerja remote.",Urgent / Critical
"Subject: Error Autentikasi pada Aplikasi MyIndiHome
Body: Login pada MyIndiHome gagal untuk sebagianBesar pelanggan.Berdampak pada akses layanan dan tagihan. Harap timBackend segera menindaklanjuti.",Urgent / Critical
"Subject: Kebocoran Data Potensial di Layanan TelkomPay
Body: Ditemukan log aktivitas mencurigakan yang mengindikasikan potensi akses ilegal ke data pengguna. Mohon investigasi segera oleh tim keamanan.",Urgent / Critical
"Subject: SistemBilling Telkom Gangguan
Body: SistemBilling tidak dapat diakses sejak pagi ini dan menyebabkan gagal proses pembayaran pelanggan. Mohon penanganan segera dari tim IT support.",Urgent / Critical
"Subject: Gangguan JaringanBackbone Jakarta-Bandung
Body: Gangguan terdeteksi padaBackbone utama area Jakarta-Bandung sejak pukul 02:00 WIB. Tim NOC diminta investigasi segera karenaBerpotensi mengganggu layanan korporat.",Urgent / Critical
"Subject: Klien Platinum Melaporkan Downtime Layanan Cloud
Body: Klien PT ABC Indonesia melaporkanBahwa layanan cloud Telkom tidak dapat diakses sejak pukul 05:30. SLA 99.9% terancam gagal. Mohon eskalasi ke tim cloud engineer.",Urgent / Critical
"Subject: Anomali Trafik Terindikasi Serangan DDoS
Body: Sistem IDS mendeteksi lonjakan trafik yang mengarah ke aplikasi MyTelkomsel. Dicurigai sebagai DDoS. Mohon aktifkan mitigasi dari tim SOC segera.",Urgent / Critical
"Subject: Kegagalan Sistem Internal CRM di Divisi Consumer
Body: CRM internal mengalami crash dan user tidak dapat melakukan input data pelanggan. Diperlukan fix segera agar tidak mengganggu operasional layanan.",Urgent / Critical
"Subject: Server Email Zimbra Tidak Merespons
Body:Beberapa karyawan melaporkan tidak dapat mengirim email melalui sistem Zimbra. Harap tim Infra segera melakukan restart dan analisis root cause.",Urgent / Critical
"Subject: Sertifikat SSL *.telkom.co.id KadaluarsaBesok
Body: Sertifikat SSL untuk domain utama akan kadaluarsa dalam 24 jam. Segera lakukan perpanjangan agar akses tidak terganggu.",Urgent / Critical
"Subject: Koneksi VPN Pegawai TelkomselBermasalah
Body:Banyak user melaporkan tidakBisa terkoneksi ke VPN internal dari luar kantor. Mohon investigasi cepat karenaBanyak timBekerja remote.",Urgent / Critical
"Subject: Error Autentikasi pada Aplikasi MyIndiHome
Body: Login pada MyIndiHome gagal untuk sebagianBesar pelanggan.Berdampak pada akses layanan dan tagihan. Harap timBackend segera menindaklanjuti.",Urgent / Critical
"Subject: Kebocoran Data Potensial di Layanan TelkomPay
Body: Ditemukan log aktivitas mencurigakan yang mengindikasikan potensi akses ilegal ke data pengguna. Mohon investigasi segera oleh tim keamanan.",Urgent / Critical
"Subject: SistemBilling Telkom Gangguan
Body: SistemBilling tidak dapat diakses sejak pagi ini dan menyebabkan gagal proses pembayaran pelanggan. Mohon penanganan segera dari tim IT support.",Urgent / Critical
"Subject: Gangguan JaringanBackbone Jakarta-Bandung
Body: Gangguan terdeteksi padaBackbone utama area Jakarta-Bandung sejak pukul 02:00 WIB. Tim NOC diminta investigasi segera karenaBerpotensi mengganggu layanan korporat.",Urgent / Critical
"Subject: Klien Platinum Melaporkan Downtime Layanan Cloud
Body: Klien PT ABC Indonesia melaporkanBahwa layanan cloud Telkom tidak dapat diakses sejak pukul 05:30. SLA 99.9% terancam gagal. Mohon eskalasi ke tim cloud engineer.",Urgent / Critical
"Subject: Anomali Trafik Terindikasi Serangan DDoS
Body: Sistem IDS mendeteksi lonjakan trafik yang mengarah ke aplikasi MyTelkomsel. Dicurigai sebagai DDoS. Mohon aktifkan mitigasi dari tim SOC segera.",Urgent / Critical
"Subject: Kegagalan Sistem Internal CRM di Divisi Consumer
Body: CRM internal mengalami crash dan user tidak dapat melakukan input data pelanggan. Diperlukan fix segera agar tidak mengganggu operasional layanan.",Urgent / Critical
"Subject: Server Email Zimbra Tidak Merespons
Body:Beberapa karyawan melaporkan tidak dapat mengirim email melalui sistem Zimbra. Harap tim Infra segera melakukan restart dan analisis root cause.",Urgent / Critical
"Subject: Sertifikat SSL *.telkom.co.id KadaluarsaBesok
Body: Sertifikat SSL untuk domain utama akan kadaluarsa dalam 24 jam. Segera lakukan perpanjangan agar akses tidak terganggu.",Urgent / Critical
"Subject: Koneksi VPN Pegawai TelkomselBermasalah
Body:Banyak user melaporkan tidakBisa terkoneksi ke VPN internal dari luar kantor. Mohon investigasi cepat karenaBanyak timBekerja remote.",Urgent / Critical
"Subject: Error Autentikasi pada Aplikasi MyIndiHome
Body: Login pada MyIndiHome gagal untuk sebagianBesar pelanggan.Berdampak pada akses layanan dan tagihan. Harap timBackend segera menindaklanjuti.",Urgent / Critical
"Subject: Kebocoran Data Potensial di Layanan TelkomPay
Body: Ditemukan log aktivitas mencurigakan yang mengindikasikan potensi akses ilegal ke data pengguna. Mohon investigasi segera oleh tim keamanan.",Urgent / Critical
"Subject: SistemBilling Telkom Gangguan
Body: SistemBilling tidak dapat diakses sejak pagi ini dan menyebabkan gagal proses pembayaran pelanggan. Mohon penanganan segera dari tim IT support.",Urgent / Critical
"Subject: Gangguan JaringanBackbone Jakarta-Bandung
Body: Gangguan terdeteksi padaBackbone utama area Jakarta-Bandung sejak pukul 02:00 WIB. Tim NOC diminta investigasi segera karenaBerpotensi mengganggu layanan korporat.",Urgent / Critical
"Subject: Klien Platinum Melaporkan Downtime Layanan Cloud
Body: Klien PT ABC Indonesia melaporkanBahwa layanan cloud Telkom tidak dapat diakses sejak pukul 05:30. SLA 99.9% terancam gagal. Mohon eskalasi ke tim cloud engineer.",Urgent / Critical
"Subject: Anomali Trafik Terindikasi Serangan DDoS
Body: Sistem IDS mendeteksi lonjakan trafik yang mengarah ke aplikasi MyTelkomsel. Dicurigai sebagai DDoS. Mohon aktifkan mitigasi dari tim SOC segera.",Urgent / Critical
"Subject: Kegagalan Sistem Internal CRM di Divisi Consumer
Body: CRM internal mengalami crash dan user tidak dapat melakukan input data pelanggan. Diperlukan fix segera agar tidak mengganggu operasional layanan.",Urgent / Critical
"Subject: Server Email Zimbra Tidak Merespons
Body:Beberapa karyawan melaporkan tidak dapat mengirim email melalui sistem Zimbra. Harap tim Infra segera melakukan restart dan analisis root cause.",Urgent / Critical
"Subject: Sertifikat SSL *.telkom.co.id KadaluarsaBesok
Body: Sertifikat SSL untuk domain utama akan kadaluarsa dalam 24 jam. Segera lakukan perpanjangan agar akses tidak terganggu.",Urgent / Critical
"Subject: Koneksi VPN Pegawai TelkomselBermasalah
Body:Banyak user melaporkan tidakBisa terkoneksi ke VPN internal dari luar kantor. Mohon investigasi cepat karenaBanyak timBekerja remote.",Urgent / Critical
"Subject: Error Autentikasi pada Aplikasi MyIndiHome
Body: Login pada MyIndiHome gagal untuk sebagianBesar pelanggan.Berdampak pada akses layanan dan tagihan. Harap timBackend segera menindaklanjuti.",Urgent / Critical
"Subject: Kebocoran Data Potensial di Layanan TelkomPay
Body: Ditemukan log aktivitas mencurigakan yang mengindikasikan potensi akses ilegal ke data pengguna. Mohon investigasi segera oleh tim keamanan.",Urgent / Critical
"Subject: SistemBilling Telkom Gangguan
Body: SistemBilling tidak dapat diakses sejak pagi ini dan menyebabkan gagal proses pembayaran pelanggan. Mohon penanganan segera dari tim IT support.",Urgent / Critical
"Subject: Gangguan JaringanBackbone Jakarta-Bandung
Body: Gangguan terdeteksi padaBackbone utama area Jakarta-Bandung sejak pukul 02:00 WIB. Tim NOC diminta investigasi segera karenaBerpotensi mengganggu layanan korporat.",Urgent / Critical
"Subject: Klien Platinum Melaporkan Downtime Layanan Cloud
Body: Klien PT ABC Indonesia melaporkanBahwa layanan cloud Telkom tidak dapat diakses sejak pukul 05:30. SLA 99.9% terancam gagal. Mohon eskalasi ke tim cloud engineer.",Urgent / Critical
"Subject: Anomali Trafik Terindikasi Serangan DDoS
Body: Sistem IDS mendeteksi lonjakan trafik yang mengarah ke aplikasi MyTelkomsel. Dicurigai sebagai DDoS. Mohon aktifkan mitigasi dari tim SOC segera.",Urgent / Critical
"Subject: Kegagalan Sistem Internal CRM di Divisi Consumer
Body: CRM internal mengalami crash dan user tidak dapat melakukan input data pelanggan. Diperlukan fix segera agar tidak mengganggu operasional layanan.",Urgent / Critical
"Subject: Server Email Zimbra Tidak Merespons
Body:Beberapa karyawan melaporkan tidak dapat mengirim email melalui sistem Zimbra. Harap tim Infra segera melakukan restart dan analisis root cause.",Urgent / Critical
"Subject: Sertifikat SSL *.telkom.co.id KadaluarsaBesok
Body: Sertifikat SSL untuk domain utama akan kadaluarsa dalam 24 jam. Segera lakukan perpanjangan agar akses tidak terganggu.",Urgent / Critical
"Subject: Koneksi VPN Pegawai TelkomselBermasalah
Body:Banyak user melaporkan tidakBisa terkoneksi ke VPN internal dari luar kantor. Mohon investigasi cepat karenaBanyak timBekerja remote.",Urgent / Critical
"Subject: Error Autentikasi pada Aplikasi MyIndiHome
Body: Login pada MyIndiHome gagal untuk sebagianBesar pelanggan.Berdampak pada akses layanan dan tagihan. Harap timBackend segera menindaklanjuti.",Urgent / Critical
"Subject: Kebocoran Data Potensial di Layanan TelkomPay
Body: Ditemukan log aktivitas mencurigakan yang mengindikasikan potensi akses ilegal ke data pengguna. Mohon investigasi segera oleh tim keamanan.",Urgent / Critical
"Subject: SistemBilling Telkom Gangguan
Body: SistemBilling tidak dapat diakses sejak pagi ini dan menyebabkan gagal proses pembayaran pelanggan. Mohon penanganan segera dari tim IT support.",Urgent / Critical
"Subject: Gangguan JaringanBackbone Jakarta-Bandung
Body: Gangguan terdeteksi padaBackbone utama area Jakarta-Bandung sejak pukul 02:00 WIB. Tim NOC diminta investigasi segera karenaBerpotensi mengganggu layanan korporat.",Urgent / Critical
"Subject: Klien Platinum Melaporkan Downtime Layanan Cloud
Body: Klien PT ABC Indonesia melaporkanBahwa layanan cloud Telkom tidak dapat diakses sejak pukul 05:30. SLA 99.9% terancam gagal. Mohon eskalasi ke tim cloud engineer.",Urgent / Critical
